time,open,high,low,close,tick_volume
1472477400,78.33000,78.74000,78.05000,78.60000,2203300
1472563800,78.60000,78.60000,77.63000,77.77000,2025700
1472650200,77.89000,78.09000,77.53000,77.75000,2182600
1472736600,77.75000,78.00000,76.80000,77.23000,3544700
1472823000,77.52000,77.63000,76.45000,76.85000,3943400
1473168600,77.12000,78.70000,77.12000,78.51000,5528600
1473255000,78.49000,78.89000,78.26000,78.59000,2971400
1473341400,80.03000,80.17000,79.41000,79.89000,4405400
1473427800,79.62000,79.62000,78.20000,78.24000,4152500
1473687000,77.99000,79.29000,77.81000,79.08000,3288900
1473773400,78.87000,78.87000,77.99000,78.48000,3149000
1473859800,78.67000,79.24000,78.02000,78.29000,2660900
1473946200,78.12000,79.06000,77.77000,78.82000,2652300
1474032600,78.70000,78.91000,78.17000,78.80000,4255100
1474291800,78.79000,79.37000,78.49000,79.16000,3321500
1474378200,79.63000,80.35000,79.29000,79.88000,3629400
1474464600,79.80000,81.00000,79.68000,80.87000,3147600
1474551000,81.05000,81.46000,80.73000,81.29000,2639800
1474637400,80.97000,81.46000,80.77000,81.16000,2197700
1474896600,81.00000,81.15000,79.50000,79.52000,4332800
1474983000,80.62000,80.93000,79.61000,80.88000,6888900
1475069400,80.84000,81.17000,80.02000,80.71000,2467800
1475155800,80.35000,80.47000,79.23000,79.74000,3269200
1475242200,80.10000,80.65000,80.03000,80.26000,3623000
1475501400,80.00000,81.07000,79.69000,81.00000,3983500
1475587800,81.06000,81.41000,80.68000,81.11000,3184100
1475674200,81.35000,82.09000,81.23000,81.75000,3560400
1475760600,81.25000,81.78000,80.73000,81.47000,2994200
1475847000,81.57000,82.31000,81.30000,82.09000,4241400
1476106200,82.13000,83.24000,82.10000,83.06000,4608400
1476192600,82.60000,82.85000,81.25000,81.81000,4218200
1476279000,81.81000,82.22000,80.46000,80.51000,3629800
1476365400,79.93000,80.49000,79.60000,80.00000,3565000
1476451800,80.17000,80.32000,79.21000,79.27000,3143900
1476711000,79.53000,79.53000,78.01000,78.53000,3884700
1476797400,79.09000,79.15000,78.50000,78.77000,3218300
1476883800,78.96000,79.33000,78.53000,78.56000,2988500
1476970200,78.73000,79.11000,78.39000,78.74000,2661900
1477056600,78.54000,78.78000,78.08000,78.25000,3215000
1477315800,78.49000,78.69000,77.44000,77.57000,4363200
1477402200,76.88000,78.28000,75.50000,77.75000,8496000
1477488600,77.42000,77.65000,76.37000,76.76000,2988700
1477575000,77.36000,77.42000,76.13000,76.16000,3789900
1477661400,75.62000,75.68000,73.86000,74.53000,5651500
1477920600,74.63000,74.74000,73.80000,73.84000,3562100
1478007000,73.81000,73.98000,71.85000,72.98000,8190500
1478093400,73.15000,73.49000,72.64000,72.65000,4433900
1478179800,72.81000,73.28000,71.88000,72.11000,4843200
1478266200,72.12000,73.03000,71.67000,72.49000,3617200
1478529000,73.22000,73.93000,73.05000,73.88000,4969400
1478615400,73.57000,74.47000,73.36000,74.02000,2690800
1478701800,77.15000,79.30000,76.58000,78.39000,7332700
1478788200,78.96000,79.70000,78.00000,78.34000,6904800
1478874600,77.97000,78.09000,76.79000,77.67000,3072700
1479133800,78.01000,78.24000,76.69000,77.02000,3221700
1479220200,77.43000,77.54000,76.18000,77.32000,3097600
1479306600,77.52000,77.52000,76.82000,76.94000,1922300
1479393000,77.00000,77.81000,76.73000,77.71000,4519200
1479479400,77.58000,77.92000,76.52000,76.67000,4571600
1479738600,76.80000,77.04000,76.10000,76.64000,4060300
1479825000,77.81000,77.81000,75.50000,75.99000,5208800
1479911400,64.34000,68.43000,64.18000,68.00000,53877200
